publn_nr,publn_year,permno_adj,IPC1,permno_year
16620811,1986,US000100,C11D_3/43,US0001001986
16620811,1986,US000100,C09G_1/16,US0001001986
16620811,1986,US000100,C11D_3/37,US0001001986
41989877,1986,US000100,C11D_1/66,US0001001986
41989877,1986,US000100,C11D_17/00,US0001001986
41989877,1986,US000100,C11D_10/02,US0001001986
41989877,1986,US000100,C11D_3/43,US0001001986
41989877,1986,US000100,C11D_1/20,US0001001986
41989877,1986,US000100,C11D_1/12,US0001001986
41989877,1986,US000100,C11D_1/83,US0001001986
41989877,1986,US000100,C11D_1/34,US0001001986
41989877,1986,US000100,C11D_17/08,US0001001986
41989877,1986,US000100,C11D_3/18,US0001001986
41989877,1986,US000100,C11D_1/68,US0001001986
42150727,1986,US000100,A61K_31/60,US0001001986
42150727,1986,US000100,A61K_8/23,US0001001986
42150727,1986,US000100,A61K_8/368,US0001001986
42150727,1986,US000100,A61K_31/21,US0001001986
42150727,1986,US000100,A61Q_5/02,US0001001986
42150727,1986,US000100,A61K_8/37,US0001001986
42150727,1986,US000100,A61Q_5/00,US0001001986
42150727,1986,US000100,C11D_1/00,US0001001986
42150727,1986,US000100,A61K_8/45,US0001001986
4242101,1986,US000100,C08F_8/44,US0001001986
4242101,1986,US000100,C09D_123/02,US0001001986
4242101,1986,US000100,C09D_135/06,US0001001986
4242101,1986,US000100,C09D_201/02,US0001001986
53659626,1986,US000100,B65D_83/14,US0001001986
53659626,1986,US000100,B65D_83/16,US0001001986
53659626,1986,US000100,A61L_9/14,US0001001986
54252162,1986,US000100,A01N_25/16,US0001001986
54261574,1986,US000100,C11D_3/386,US0001001986
54261574,1986,US000100,C11D_3/37,US0001001986
54261574,1986,US000100,C11D_3/18,US0001001986
54283731,1986,US000100,A61L_9/14,US0001001986
54283731,1986,US000100,A01M_1/20,US0001001986
1177152,1987,US000100,B65D_83/14,US0001001987
1177152,1987,US000100,B65D_83/38,US0001001987
16657406,1987,US000100,A61K_8/46,US0001001987
16657406,1987,US000100,C11D_1/37,US0001001987
16657406,1987,US000100,A61K_8/36,US0001001987
16657406,1987,US000100,A61Q_19/10,US0001001987
16657406,1987,US000100,C11D_1/28,US0001001987
16657406,1987,US000100,C11D_1/06,US0001001987
16657406,1987,US000100,C11D_3/60,US0001001987
16657406,1987,US000100,A61K_8/00,US0001001987
16657406,1987,US000100,C11D_1/29,US0001001987
16657406,1987,US000100,C11D_1/12,US0001001987
16657406,1987,US000100,A61Q_5/02,US0001001987
16667109,1987,US000100,A01N_25/06,US0001001987
16667109,1987,US000100,A01N_25/24,US0001001987
18144888,1987,US000100,C08F_2/30,US0001001987
18144888,1987,US000100,C08F_2/24,US0001001987
18144888,1987,US000100,C08F_2/22,US0001001987
18144888,1987,US000100,C08F_2/44,US0001001987
18144889,1987,US000100,C08F_220/18,US0001001987
18144889,1987,US000100,C08F_2/26,US0001001987
18144889,1987,US000100,C09J_151/00,US0001001987
18144889,1987,US000100,C09J_7/02,US0001001987
18144889,1987,US000100,C09J_151/06,US0001001987
2239663,1987,US000100,B05B_11/04,US0001001987
22929272,1987,US000100,G01N_31/22,US0001001987
2306337,1987,US000100,B65D_83/14,US0001001987
2306337,1987,US000100,B65D_83/28,US0001001987
2306337,1987,US000100,B65D_83/58,US0001001987
2306337,1987,US000100,F16J_1/04,US0001001987
2306337,1987,US000100,B65D_83/16,US0001001987
2306337,1987,US000100,B65D_83/42,US0001001987
39807351,1987,US000100,B65D_83/14,US0001001987
39807351,1987,US000100,B65D_83/16,US0001001987
39807351,1987,US000100,B05B_1/16,US0001001987
42252955,1987,US000100,A61L_9/03,US0001001987
42252955,1987,US000100,A01M_1/20,US0001001987
42252955,1987,US000100,A61L_9/14,US0001001987
42252955,1987,US000100,B05B_9/00,US0001001987
42252955,1987,US000100,A61L_2/22,US0001001987
45443590,1987,US000100,A01N_37/18,US0001001987
45443590,1987,US000100,A01N_25/18,US0001001987
46737814,1987,US000100,A47L_23/05,US0001001987
46746062,1987,US000100,A01M_1/02,US0001001987
46746062,1987,US000100,A01M_1/20,US0001001987
46972582,1987,US000100,A61L_9/03,US0001001987
46972582,1987,US000100,A01M_1/20,US0001001987
47663152,1987,US000100,C08L_33/14,US0001001987
47663152,1987,US000100,C08L_67/00,US0001001987
47663152,1987,US000100,C09K_19/38,US0001001987
47978075,1987,US000100,D06F_39/02,US0001001987
47978075,1987,US000100,B65D_33/36,US0001001987
48081103,1987,US000100,B65D_17/40,US0001001987
48081103,1987,US000100,A61L_9/03,US0001001987
48081103,1987,US000100,B65D_77/20,US0001001987
11092908,1988,US000100,A01M_1/20,US0001001988
11092908,1988,US000100,A01M_1/02,US0001001988
1515039,1988,US000100,A61K_8/49,US0001001988
1515039,1988,US000100,A61K_8/64,US0001001988
1515039,1988,US000100,A61K_8/44,US0001001988
1515039,1988,US000100,A61Q_5/00,US0001001988
1529219,1988,US000100,A01M_7/00,US0001001988
1529219,1988,US000100,B01F_5/04,US0001001988
1529219,1988,US000100,B29B_7/56,US0001001988
1529219,1988,US000100,B67D_7/74,US0001001988
1529219,1988,US000100,B01F_5/14,US0001001988
1529219,1988,US000100,B01F_3/08,US0001001988
1529219,1988,US000100,B05B_9/08,US0001001988
1529219,1988,US000100,B01F_15/04,US0001001988
1529219,1988,US000100,A01C_23/04,US0001001988
1570710,1988,US000100,C08F_2/00,US0001001988
1570710,1988,US000100,C08F_2/12,US0001001988
1570710,1988,US000100,C08F_20/02,US0001001988
1570710,1988,US000100,C08F_222/06,US0001001988
1570710,1988,US000100,C08F_10/14,US0001001988
1570710,1988,US000100,C08F_210/14,US0001001988
16718867,1988,US000100,B65D_17/40,US0001001988
16718867,1988,US000100,B65D_77/20,US0001001988
16718867,1988,US000100,A61L_9/03,US0001001988
18151163,1988,US000100,C08F_20/02,US0001001988
18151163,1988,US000100,C11D_3/37,US0001001988
18151163,1988,US000100,C08F_222/06,US0001001988
24456353,1988,US000100,B28B_15/00,US0001001988
24456353,1988,US000100,B28B_23/06,US0001001988
3699183,1988,US000100,B29C_37/02,US0001001988
3699183,1988,US000100,B07C_5/06,US0001001988
3699183,1988,US000100,B07B_13/00,US0001001988
3699183,1988,US000100,B07B_13/04,US0001001988
3699183,1988,US000100,B07B_13/05,US0001001988
42156846,1988,US000100,B65D_47/20,US0001001988
42158061,1988,US000100,B65D_21/00,US0001001988
42158061,1988,US000100,B65D_6/00,US0001001988
4289856,1988,US000100,C08F_210/00,US0001001988
4289856,1988,US000100,C08F_222/06,US0001001988
4289856,1988,US000100,C08F_210/14,US0001001988
4289856,1988,US000100,C08F_20/02,US0001001988
4289856,1988,US000100,C08F_10/14,US0001001988
4289856,1988,US000100,C08F_2/06,US0001001988
4289856,1988,US000100,B01J_19/24,US0001001988
4289856,1988,US000100,C08F_2/00,US0001001988
4289856,1988,US000100,B01J_19/18,US0001001988
48136937,1988,US000100,B01F_1/00,US0001001988
48136937,1988,US000100,E03D_9/03,US0001001988
48322808,1988,US000100,B65D_5/468,US0001001988
48322808,1988,US000100,B65D_77/06,US0001001988
48704630,1988,US000100,A61K_8/891,US0001001988
48704630,1988,US000100,A61Q_5/06,US0001001988
48704630,1988,US000100,A61K_8/894,US0001001988
48704630,1988,US000100,A61K_8/04,US0001001988
48907842,1988,US000100,B01F_15/04,US0001001988
48907842,1988,US000100,B05B_7/24,US0001001988
48950357,1988,US000100,B01F_17/16,US0001001988
48950357,1988,US000100,B01F_17/00,US0001001988
48950357,1988,US000100,C09G_1/04,US0001001988
49314606,1988,US000100,C09G_1/16,US0001001988
14176443,1989,US000100,C09J_133/04,US0001001989
14176443,1989,US000100,C09J_157/00,US0001001989
14176443,1989,US000100,C08F_2/16,US0001001989
14176443,1989,US000100,C09J_7/02,US0001001989
14176443,1989,US000100,C08F_2/24,US0001001989
15284545,1989,US000100,B65D,US0001001989
15284545,1989,US000100,B65D_33/38,US0001001989
15284545,1989,US000100,B65D_35/08,US0001001989
15284545,1989,US000100,B65D_75/30,US0001001989
15284545,1989,US000100,B65D_33/36,US0001001989
15284545,1989,US000100,B65D_75/58,US0001001989
15284545,1989,US000100,B65D_30/16,US0001001989
16756373,1989,US000100,C08F_8/14,US0001001989
16756373,1989,US000100,C08G_18/62,US0001001989
16756373,1989,US000100,C08G_63/08,US0001001989
16756373,1989,US000100,C08F_8/30,US0001001989
1722536,1989,US000100,A01M_1/20,US0001001989
17577095,1989,US000100,A61K_8/42,US0001001989
17577095,1989,US000100,A61K_8/45,US0001001989
17577095,1989,US000100,A61K_8/04,US0001001989
17577095,1989,US000100,A61Q_5/06,US0001001989
17577095,1989,US000100,A61K_8/81,US0001001989
17577095,1989,US000100,A61K_8/41,US0001001989
18158751,1989,US000100,B65D_83/16,US0001001989
18158751,1989,US000100,B05B_9/04,US0001001989
18158751,1989,US000100,B29C_33/42,US0001001989
18158751,1989,US000100,B65D_83/40,US0001001989
18158751,1989,US000100,B29L_31/56,US0001001989
1835990,1989,US000100,A61K_8/36,US0001001989
1835990,1989,US000100,A61K_8/40,US0001001989
1835990,1989,US000100,A61K_8/00,US0001001989
1835990,1989,US000100,A61K_8/41,US0001001989
1835990,1989,US000100,A61K_8/46,US0001001989
1835990,1989,US000100,C11D_10/02,US0001001989
1835990,1989,US000100,C11D_3/37,US0001001989
1835990,1989,US000100,C09K_3/00,US0001001989
1835990,1989,US000100,A61Q_19/10,US0001001989
1835990,1989,US000100,A61Q_5/02,US0001001989
1835990,1989,US000100,A61K_8/73,US0001001989
1835990,1989,US000100,C11D_17/00,US0001001989
1835990,1989,US000100,A61K_8/44,US0001001989
1835990,1989,US000100,C11D_3/22,US0001001989
22989327,1989,US000100,C10L_11/04,US0001001989
4301837,1989,US000100,A01M_1/20,US0001001989
4301837,1989,US000100,F42C_7/12,US0001001989
4311051,1989,US000100,A01K_27/00,US0001001989
4311052,1989,US000100,A01K_27/00,US0001001989
49727818,1989,US000100,A01M_1/14,US0001001989
49727818,1989,US000100,A01M_1/22,US0001001989
50302553,1989,US000100,A61K_8/81,US0001001989
50302553,1989,US000100,A61K_8/34,US0001001989
50302553,1989,US000100,A61Q_17/00,US0001001989
50302553,1989,US000100,A61K_8/04,US0001001989
50302553,1989,US000100,A61Q_19/00,US0001001989
50302553,1989,US000100,A61K_8/02,US0001001989
50302553,1989,US000100,A61K_31/045,US0001001989
50302553,1989,US000100,A01N_31/02,US0001001989
14235320,1990,US000100,B05B_7/06,US0001001990
14235320,1990,US000100,B08B_3/12,US0001001990
16859852,1990,US000100,B65D_83/58,US0001001990
16859852,1990,US000100,B65D_83/42,US0001001990
16859852,1990,US000100,B65D_83/16,US0001001990
16859852,1990,US000100,A01N_61/00,US0001001990
16859852,1990,US000100,A01N_25/06,US0001001990
16859852,1990,US000100,B65D_83/28,US0001001990
16859852,1990,US000100,A01N_25/16,US0001001990
16859852,1990,US000100,A01N_25/04,US0001001990
18180365,1990,US000100,A01M_1/22,US0001001990
18180365,1990,US000100,A01M_1/14,US0001001990
2199129,1990,US000100,A01M_1/20,US0001001990
42520279,1990,US000100,A61Q_5/12,US0001001990
42520279,1990,US000100,C08G_77/38,US0001001990
42520279,1990,US000100,A61Q_5/02,US0001001990
42520279,1990,US000100,A61K_8/891,US0001001990
47130442,1990,US000100,A01M_1/22,US0001001990
47130442,1990,US000100,A01M_1/14,US0001001990
47133394,1990,US000100,C11D_1/12,US0001001990
47133394,1990,US000100,A61K_8/86,US0001001990
47133394,1990,US000100,A61Q_5/02,US0001001990
47133394,1990,US000100,A61Q_17/00,US0001001990
47133394,1990,US000100,C11D_1/02,US0001001990
47133394,1990,US000100,C11D_1/14,US0001001990
47135896,1990,US000100,B65D_75/62,US0001001990
47135896,1990,US000100,B65D_33/00,US0001001990
47135896,1990,US000100,B65D_75/00,US0001001990
47135896,1990,US000100,B65D_75/58,US0001001990
47135896,1990,US000100,B65D_17/28,US0001001990
51221477,1990,US000100,C08G_85/00,US0001001990
51221477,1990,US000100,C08G_63/08,US0001001990
51383571,1990,US000100,B65D_83/16,US0001001990
51967468,1990,US000100,B65D_47/08,US0001001990
51967468,1990,US000100,B65D_55/00,US0001001990
52002654,1990,US000100,C08F_265/04,US0001001990
52002654,1990,US000100,C08F_2/16,US0001001990
52002654,1990,US000100,C08F_212/06,US0001001990
52002654,1990,US000100,C08F_220/00,US0001001990
52002654,1990,US000100,C08F_220/34,US0001001990
52002654,1990,US000100,C08F_2/22,US0001001990
52002654,1990,US000100,C08F_220/06,US0001001990
52002654,1990,US000100,C08F_2/00,US0001001990
52002654,1990,US000100,C08F_226/02,US0001001990
52002654,1990,US000100,C08F_12/00,US0001001990
52002654,1990,US000100,C08F_230/02,US0001001990
52002654,1990,US000100,C09G_1/04,US0001001990
52002654,1990,US000100,C08F_265/02,US0001001990
52002654,1990,US000100,C08F_212/14,US0001001990
52002654,1990,US000100,C08F_20/34,US0001001990
52002654,1990,US000100,C08F_26/06,US0001001990
52002654,1990,US000100,C08L_91/06,US0001001990
52002654,1990,US000100,C08F_30/02,US0001001990
52002654,1990,US000100,C08F_226/06,US0001001990
52002654,1990,US000100,C08F_220/02,US0001001990
52002654,1990,US000100,C08F_257/02,US0001001990
52002654,1990,US000100,C08F_220/04,US0001001990
52002654,1990,US000100,C09G_1/00,US0001001990
52002654,1990,US000100,C08F_212/00,US0001001990
52232679,1990,US000100,C08G_18/62,US0001001990
52232679,1990,US000100,C08F_8/30,US0001001990
1244284,1991,US000100,C08L_33/02,US0001001991
1244284,1991,US000100,A61Q_5/00,US0001001991
1244284,1991,US000100,C08L_33/04,US0001001991
1244284,1991,US000100,B65D_83/28,US0001001991
1244284,1991,US000100,A61K_8/34,US0001001991
1244284,1991,US000100,B65D_83/16,US0001001991
1244284,1991,US000100,B65D_83/14,US0001001991
1244284,1991,US000100,A45D_34/04,US0001001991
1244284,1991,US000100,B65D_83/42,US0001001991
1244284,1991,US000100,C08L_101/00,US0001001991
1244284,1991,US000100,A61K_8/00,US0001001991
1244284,1991,US000100,B05B_11/00,US0001001991
1244284,1991,US000100,B65D_83/58,US0001001991
14271485,1991,US000100,B65D_75/00,US0001001991
